Text,Language,Unnamed: 2
abundant ,Not Yoruba,
abuse ,Not Yoruba,
abusive ,Not Yoruba,
academic ,Not Yoruba,
academy ,Not Yoruba,
accelerate ,Not Yoruba,
acceleration ,Not Yoruba,
accelerator ,Not Yoruba,
accent ,Not Yoruba,
accept ,Not Yoruba,
acceptable ,Not Yoruba,
acceptance ,Not Yoruba,
access ,Not Yoruba,
accessible ,Not Yoruba,
accessories ,Not Yoruba,
accessory ,Not Yoruba,
accept ,Not Yoruba,
accept,Not Yoruba,
ache ,Not Yoruba,
achieve ,Not Yoruba,
achievement ,Not Yoruba,
acid ,Not Yoruba,
acknowledge ,Not Yoruba,
acknowledgement ,Not Yoruba,
acrobat ,Not Yoruba,
aid ,Not Yoruba,
around ,Not Yoruba,
augment ,Not Yoruba,
August ,Not Yoruba,
authentic ,Not Yoruba,
authenticate ,Not Yoruba,
authorities ,Not Yoruba,
authority ,Not Yoruba,
authorization ,Not Yoruba,
authorize ,Not Yoruba,
autograph ,Not Yoruba,
automate ,Not Yoruba,
automatic ,Not Yoruba,
automation ,Not Yoruba,
automobile ,Not Yoruba,
autonomous ,Not Yoruba,
autonomy ,Not Yoruba,
autopsy ,Not Yoruba,
autumn ,Not Yoruba,
availability ,Not Yoruba,
available ,Not Yoruba,
avalanche ,Not Yoruba,
avenge ,Not Yoruba,
avenue ,Not Yoruba,
average ,Not Yoruba,
aversion ,Not Yoruba,
avert ,Not Yoruba,
aviation ,Not Yoruba,
avid,Not Yoruba,
avoid ,Not Yoruba,
avoidable ,Not Yoruba,
avoidance ,Not Yoruba,
await ,Not Yoruba,
awake ,Not Yoruba,
award ,Not Yoruba,
aware ,Not Yoruba,
awareness ,Not Yoruba,
away ,Not Yoruba,
awful ,Not Yoruba,
awkward,Not Yoruba,
awning ,Not Yoruba,
axe ,Not Yoruba,
axis ,Not Yoruba,
axle ,Not Yoruba,
baboon ,Not Yoruba,
baby ,Not Yoruba,
bachelor ,Not Yoruba,
back ,Not Yoruba,
back  (body),Not Yoruba,
back  (location),Not Yoruba,
back  (support),Not Yoruba,
backbone ,Not Yoruba,
background ,Not Yoruba,
backpack ,Not Yoruba,
backwards ,Not Yoruba,
bacon ,Not Yoruba,
bacteria ,Not Yoruba,
bad ,Not Yoruba,
badge ,Not Yoruba,
baffle ,Not Yoruba,
bag ,Not Yoruba,
baggage ,Not Yoruba,
baggy ,Not Yoruba,
banish ,Not Yoruba,
cabbage ,Not Yoruba,
cabin ,Not Yoruba,
cabinet,Not Yoruba,
cable ,Not Yoruba,
cactus ,Not Yoruba,
café ,Not Yoruba,
caffeine ,Not Yoruba,
cage ,Not Yoruba,
cake ,Not Yoruba,
calcium ,Not Yoruba,
calculate ,Not Yoruba,
calculation ,Not Yoruba,
calculator ,Not Yoruba,
calendar ,Not Yoruba,
calf ,Not Yoruba,
call ,Not Yoruba,
calmness ,Not Yoruba,
dad ,Not Yoruba,
dagger ,Not Yoruba,
daily ,Not Yoruba,
dairy ,Not Yoruba,
dam ,Not Yoruba,
damage ,Not Yoruba,
damp ,Not Yoruba,
dance ,Not Yoruba,
danger ,Not Yoruba,
dangerous ,Not Yoruba,
dark ,Not Yoruba,
darken ,Not Yoruba,
darkness ,Not Yoruba,
data ,Not Yoruba,
date fruit,Not Yoruba,
date,Not Yoruba,
dative ,Not Yoruba,
daughter ,Not Yoruba,
daughter-in-law ,Not Yoruba,
dawn ,Not Yoruba,
each ,Not Yoruba,
eager ,Not Yoruba,
eagle ,Not Yoruba,
ear ,Not Yoruba,
earn ,Not Yoruba,
earth ,Not Yoruba,
earthquake ,Not Yoruba,
ease ,Not Yoruba,
east ,Not Yoruba,
Easter ,Not Yoruba,
eastern ,Not Yoruba,
eastwards ,Not Yoruba,
easy ,Not Yoruba,
echo ,Not Yoruba,
eclipse ,Not Yoruba,
ecology ,Not Yoruba,
economic ,Not Yoruba,
economy ,Not Yoruba,
edge ,Not Yoruba,
edit ,Not Yoruba,
educate ,Not Yoruba,
education ,Not Yoruba,
eel ,Not Yoruba,
fable ,Not Yoruba,
fabric ,Not Yoruba,
face ,Not Yoruba,
fact ,Not Yoruba,
factory ,Not Yoruba,
faculty ,Not Yoruba,
fade ,Not Yoruba,
fail ,Not Yoruba,
faint ,Not Yoruba,
fairy ,Not Yoruba,
fairytale ,Not Yoruba,
faith,Not Yoruba,
faithful ,Not Yoruba,
fake ,Not Yoruba,
falcon ,Not Yoruba,
fall ,Not Yoruba,
false ,Not Yoruba,
fame ,Not Yoruba,
food ,Not Yoruba,
cook ,Not Yoruba,
crook ,Not Yoruba,
Hood ,Not Yoruba,
flood ,Not Yoruba,
fuel ,Not Yoruba,
fulfil ,Not Yoruba,
fulfilment ,Not Yoruba,
full ,Not Yoruba,
fumes ,Not Yoruba,
fun ,Not Yoruba,
function ,Not Yoruba,
fund ,Not Yoruba,
fundamental ,Not Yoruba,
funeral ,Not Yoruba,
fungus ,Not Yoruba,
gain ,Not Yoruba,
gamble ,Not Yoruba,
game ,Not Yoruba,
gang ,Not Yoruba,
gap,Not Yoruba,
gate ,Not Yoruba,
gateway ,Not Yoruba,
gauge ,Not Yoruba,
general ,Not Yoruba,
giant ,Not Yoruba,
gift ,Not Yoruba,
girl ,Not Yoruba,
girlfriend ,Not Yoruba,
give ,Not Yoruba,
glad ,Not Yoruba,
glamor ,Not Yoruba,
glance ,Not Yoruba,
glisten ,Not Yoruba,
glossy ,Not Yoruba,
glove ,Not Yoruba,
glow ,Not Yoruba,
greed ,Not Yoruba,
greedy ,Not Yoruba,
green ,Not Yoruba,
greenhouse ,Not Yoruba,
greet ,Not Yoruba,
greeting ,Not Yoruba,
grenade ,Not Yoruba,
grey ,Not Yoruba,
grief ,Not Yoruba,
grievance ,Not Yoruba,
grieve ,Not Yoruba,
grill ,Not Yoruba,
grim ,Not Yoruba,
grime ,Not Yoruba,
grin ,Not Yoruba,
grind ,Not Yoruba,
grip ,Not Yoruba,
groan ,Not Yoruba,
groceries ,Not Yoruba,
groin ,Not Yoruba,
groom ,Not Yoruba,
groove ,Not Yoruba,
ground ,Not Yoruba,
groundwork ,Not Yoruba,
group ,Not Yoruba,
grove ,Not Yoruba,
grow ,Not Yoruba,
growl ,Not Yoruba,
growth,Not Yoruba,
growth  (physical),Not Yoruba,
growth tumor,Not Yoruba,
grub ,Not Yoruba,
gruesome ,Not Yoruba,
grumpy ,Not Yoruba,
grunt ,Not Yoruba,
guarantee ,Not Yoruba,
guard ,Not Yoruba,
guess ,Not Yoruba,
guesthouse ,Not Yoruba,
guidance ,Not Yoruba,
guide ,Not Yoruba,
guidebook ,Not Yoruba,
guidelines ,Not Yoruba,
guilt ,Not Yoruba,
guilty ,Not Yoruba,
guitar ,Not Yoruba,
gulf ,Not Yoruba,
gullible ,Not Yoruba,
gums ,Not Yoruba,
gun ,Not Yoruba,
gunner ,Not Yoruba,
gust ,Not Yoruba,
gut ,Not Yoruba,
gymnasium ,Not Yoruba,
habit ,Not Yoruba,
hail ,Not Yoruba,
body hair,Not Yoruba,
hair,Not Yoruba,
haircut ,Not Yoruba,
hairdresser  ,Not Yoruba,
hairstyle ,Not Yoruba,
hairy ,Not Yoruba,
half ,Not Yoruba,
half-breed ,Not Yoruba,
hall ,Not Yoruba,
hallucination ,Not Yoruba,
halve ,Not Yoruba,
ham ,Not Yoruba,
handful ,Not Yoruba,
handshake ,Not Yoruba,
handsome ,Not Yoruba,
handwriting ,Not Yoruba,
handy ,Not Yoruba,
hang ,Not Yoruba,
hangar ,Not Yoruba,
happen ,Not Yoruba,
happiness ,Not Yoruba,
harbor ,Not Yoruba,
hard ,Not Yoruba,
hardship ,Not Yoruba,
hare ,Not Yoruba,
harem ,Not Yoruba,
harm ,Not Yoruba,
harmful ,Not Yoruba,
harmless ,Not Yoruba,
harmony ,Not Yoruba,
harness ,Not Yoruba,
harsh,Not Yoruba,
harvest ,Not Yoruba,
haste ,Not Yoruba,
hat ,Not Yoruba,
hatch ,Not Yoruba,
hatchet ,Not Yoruba,
hate ,Not Yoruba,
hateful ,Not Yoruba,
haul ,Not Yoruba,
heal ,Not Yoruba,
ice ,Not Yoruba,
ice cream ,Not Yoruba,
idiom ,Not Yoruba,
idle ,Not Yoruba,
idol ,Not Yoruba,
idolize ,Not Yoruba,
image ,Not Yoruba,
imagine ,Not Yoruba,
imitate ,Not Yoruba,
impulsive ,Not Yoruba,
inability ,Not Yoruba,
inaccessible ,Not Yoruba,
inaccurate ,Not Yoruba,
inactive ,Not Yoruba,
inadequate ,Not Yoruba,
irrigate ,Not Yoruba,
isolate ,Not Yoruba,
itch ,Not Yoruba,
itinerary ,Not Yoruba,
ivory ,Not Yoruba,
ivy ,Not Yoruba,
jacket ,Not Yoruba,
jail ,Not Yoruba,
jam,Not Yoruba,
jelly jam,Not Yoruba,
jammed ,Not Yoruba,
janitor ,Not Yoruba,
January ,Not Yoruba,
job,Not Yoruba,
joyful ,Not Yoruba,
court judge,Not Yoruba,
judge,Not Yoruba,
judgement ,Not Yoruba,
July ,Not Yoruba,
jump ,Not Yoruba,
June ,Not Yoruba,
justice ,Not Yoruba,
justification ,Not Yoruba,
justify ,Not Yoruba,
juvenile ,Not Yoruba,
kangaroo ,Not Yoruba,
keep ,Not Yoruba,
kennel ,Not Yoruba,
key ,Not Yoruba,
kick ,Not Yoruba,
king ,Not Yoruba,
kiss ,Not Yoruba,
kitchen ,Not Yoruba,
knead ,Not Yoruba,
knee ,Not Yoruba,
kneecap ,Not Yoruba,
kneel ,Not Yoruba,
knife ,Not Yoruba,
knight ,Not Yoruba,
knit ,Not Yoruba,
knob ,Not Yoruba,
knock ,Not Yoruba,
knot ,Not Yoruba,
know ,Not Yoruba,
know-how ,Not Yoruba,
knowledge ,Not Yoruba,
label ,Not Yoruba,
medical labor,Not Yoruba,
labor ,Not Yoruba,
lamp ,Not Yoruba,
land ,Not Yoruba,
left ,Not Yoruba,
leg ,Not Yoruba,
lemon ,Not Yoruba,
lend ,Not Yoruba,
lethal ,Not Yoruba,
load ,Not Yoruba,
love ,Not Yoruba,
lucky ,Not Yoruba,
luggage ,Not Yoruba,
lumber ,Not Yoruba,
lump ,Not Yoruba,
lunch ,Not Yoruba,
lust ,Not Yoruba,
luxurious ,Not Yoruba,
luxury ,Not Yoruba,
mad ,Not Yoruba,
marvelous ,Not Yoruba,
manifest ,Not Yoruba,
manifold ,Not Yoruba,
maggot ,Not Yoruba,
magic ,Not Yoruba,
make ,Not Yoruba,
man ,Not Yoruba,
many ,Not Yoruba,
march ,Not Yoruba,
mare ,Not Yoruba,
mark ,Not Yoruba,
market ,Not Yoruba,
meet ,Not Yoruba,
melt ,Not Yoruba,
mend,Not Yoruba,
mercy ,Not Yoruba,
mill ,Not Yoruba,
mine field ,Not Yoruba,
mouth ,Not Yoruba,
music ,Not Yoruba,
mustache ,Not Yoruba,
myth ,Not Yoruba,
name ,Not Yoruba,
nail ,Not Yoruba,
near ,Not Yoruba,
neat ,Not Yoruba,
neck ,Not Yoruba,
necklace ,Not Yoruba,
need ,Not Yoruba,
needle ,Not Yoruba,
needy ,Not Yoruba,
negotiate ,Not Yoruba,
neighbor ,Not Yoruba,
new ,Not Yoruba,
no ,Not Yoruba,
no,Not Yoruba,
noise ,Not Yoruba,
north ,Not Yoruba,
nose ,Not Yoruba,
nostril ,Not Yoruba,
note,Not Yoruba,
money note,Not Yoruba,
muscial note,Not Yoruba,
November ,Not Yoruba,
number ,Not Yoruba,
oak ,Not Yoruba,
oar ,Not Yoruba,
occasion ,Not Yoruba,
occasionally ,Not Yoruba,
occupation ,Not Yoruba,
occupy ,Not Yoruba,
occur ,Not Yoruba,
occurrence,Not Yoruba,
ocean ,Not Yoruba,
October ,Not Yoruba,
odor ,Not Yoruba,
off ,Not Yoruba,
offense ,Not Yoruba,
offer ,Not Yoruba,
office ,Not Yoruba,
military officer,Not Yoruba,
official ,Not Yoruba,
oil ,Not Yoruba,
oily ,Not Yoruba,
parrot ,Not Yoruba,
part ,Not Yoruba,
pass out ,Not Yoruba,
penis ,Not Yoruba,
perform ,Not Yoruba,
factory plant,Not Yoruba,
plant,Not Yoruba,
plead ,Not Yoruba,
poor ,Not Yoruba,
pork ,Not Yoruba,
praise ,Not Yoruba,
pray ,Not Yoruba,
prayer ,Not Yoruba,
preach ,Not Yoruba,
precaution ,Not Yoruba,
pregnancy ,Not Yoruba,
pregnant ,Not Yoruba,
punish ,Not Yoruba,
punishment ,Not Yoruba,
push ,Not Yoruba,
qualification ,Not Yoruba,
qualified ,Not Yoruba,
qualify ,Not Yoruba,
quality ,Not Yoruba,
quantity ,Not Yoruba,
quarrel ,Not Yoruba,
quarrelsome ,Not Yoruba,
quarter ,Not Yoruba,
quay ,Not Yoruba,
queen ,Not Yoruba,
query ,Not Yoruba,
question ,Not Yoruba,
queue ,Not Yoruba,
quick ,Not Yoruba,
quiet ,Not Yoruba,
quit ,Not Yoruba,
quiz ,Not Yoruba,
