"Text","Language"
"Jehovah’s Witnesses in the capital of Mongolia, Ulaanbaatar, received a certificate from the City Council’s office on June 14, 2018, officially granting permission to renew their religious entity.","Not Yoruba"
"Jehovah’s Witnesses in Ukraine hosted special Bible exhibitions to highlight the release of the New World Translation of the Christian Greek Scriptures in Russian Sign Language (RSL), a major milestone in our translation efforts.","Not Yoruba"
"Jehovah’s Witnesses in Ukraine welcomed thousands of their brothers and sisters for the special convention held in Lviv, Ukraine, on July 6-8, 2018.","Not Yoruba"
"Judge Ivan Belykh of the Zheleznodorozhniy District Court of Khabarovsk has scheduled the verdict in the criminal case against 52-year-old Brother Valeriy Moskalenko to be announced on September 2, 2019.","Not Yoruba"
"Judge Oleg Golovashko of the Prohladniy District Court in Russia announced the verdict in the case against Brother Arkadya Akopyan on Thursday, December 27.","Not Yoruba"
"Just nine days after Dennis Christensen was unjustly convicted in a Russian court, at least seven of Jehovah’s Witnesses were subjected to physical abuse—electric shocks, suffocation, and beatings—by Russian investigators in the western Siberian city of Surgut.","Not Yoruba"
"Mum meet Esther, she's my friend and I want to marry her","Not Yoruba"
"NEW YORK—The Governing Body of Jehovah’s Witnesses arranged for a delegation of brothers from three continents to travel to Moscow to demonstrate the global support for the brothers and sisters in Russia.","Not Yoruba"
"On April 1, 2019, the same Russian court that sentenced Brother Dennis Christensen to six years in prison convicted 56-year-old Sergey Skrynnikov for practicing his faith as one of Jehovah’s Witnesses.","Not Yoruba"
"On April 9, 2019, the Surgut City Court ordered the release of Brothers Yevgeniy Fedin and Sergey Loginov from pretrial detention.","Not Yoruba"
"On August 13, 2019, the appeals court in the city of Kirov ruled to release 26-year-old Brother Andrey Suvorkov from house arrest.","Not Yoruba"
"On August 28, 2019, heavy rainfall in the Kyushu region of Japan caused widespread flooding.","Not Yoruba"
"On August 28, 2019, heavy rains caused the Talomo River to overflow in Davao City.","Not Yoruba"
"On December 29, 2018, Tropical Depression Usman made landfall over Samar, the third largest island in the Philippines.","Not Yoruba"
"On February 14, 2020, the Vilyuchinsk City Court convicted Brother Mikhail Popov and his wife, Sister Yelena Popova.","Not Yoruba"
"On February 25, 2019, an application for urgent measures was filed with the European Court of Human Rights (ECHR) on behalf of Brother Sergey Loginov, one of the seven brothers who was tortured by officials in the western Siberian city of Surgut.","Not Yoruba"
"On February 6, 2019, a Russian court announced that Dennis Christensen is guilty of “organizing the activity of an extremist organization.”","Not Yoruba"
"On Friday, August 30, 2019, Brother Valeriy Moskalenko delivered his concluding comments to the court.","Not Yoruba"
"On Friday, July 19, 2019, the opening day of the “Love Never Fails”! International Convention in Madrid, Spain, Jehovah’s Witnesses released the much-anticipated revised New World Translation of the Holy Scriptures in Spanish.","Not Yoruba"
"On January 12, 2020, the Taal volcano in Batangas, Philippines, spewed ash some fourteen kilometers (9 mi) into the sky, prompting warnings of a possible “hazardous explosive eruption.”","Not Yoruba"
"On July 2, 2019, a court in Krasnoyarsk, Russia, ruled to release Brother Andrey Stupnikov from house arrest.","Not Yoruba"
"On July 27, 2019, two earthquakes ravaged the small island of Itbayat in the Philippines, some 690 kilometers (430 mi) north of Manila.","Not Yoruba"
"On June 6, 2019, two weeks after Brother Dennis Christensen lost his appeal, Russian authorities transferred him from his pretrial detention cell in Oryol to prison—Penal Colony No. 3 in the city of Lgov.","Not Yoruba"
"On March 1, 2019, the Supreme Court of the Republic of Kabardino-Balkaria overturned a lower court’s conviction of Brother Arkadya Akopyan.","Not Yoruba"
"On March 25, 2020, the Penza Regional Court overturned the conviction of Brothers Vladimir Alushkin, Vladimir Kulyasov, Andrey Magliv, and Denis Timoshin, as well as Sisters Tatyana Alushkina and Galiya Olkhova.","Not Yoruba"
"On March 7, 2019, the Appeals Court in Khanty-Mansiysk, Russia, overturned the decision of the Surgut City Trial Court to detain Brother Artur Severinchik.","Not Yoruba"
"On May 23, 2019, a three-judge panel of the Oryol Regional Court denied Dennis Christensen’s appeal and upheld the six-year prison sentence he previously received.","Not Yoruba"
"On November 30, 2018, the Kyrgyzstan Ministry of Justice registered an office for Jehovah’s Witnesses in the city of Osh, the second-largest city in Kyrgyzstan.","Not Yoruba"
"On November 5, 2019, the Oktyabrsky District Court of Tomsk sentenced Brother Sergey Klimov to six years in prison.","Not Yoruba"
"On October 25 and 26, 2019, Typhoon Bualoi battered the eastern coast of Japan. Notably, Bualoi is the third in a series of typhoons that have struck eastern Japan since September, following typhoons Faxai and Hagibis.","Not Yoruba"
"On Saturday, April 13, 2019, Brother Stephen Lett of the Governing Body released the revised Japanese-language edition of the New World Translation of the Holy Scriptures.","Not Yoruba"
"On September 2, 2019, the Zheleznodorozhniy District Court of Khabarovsk, Russia, sentenced Brother Valeriy Moskalenko to two years and two months of community service and another six months of probation.","Not Yoruba"
"On September 26, 2018, the Supreme Court of the “Donetsk People’s Republic” (DPR) declared the religious association of Jehovah’s Witnesses to be “extremist,” effectively banning our activities.","Not Yoruba"
"On September 3, 2019, Brother Andrzej Oniszczuk was released from a Russian prison.","Not Yoruba"
"On September 4, 2019, during the trial of six Jehovah’s Witnesses in Saratov, a well-known religious scholar and state advisor to the Russian Federation, Sergey Igorevich Ivanenko, was invited to testify under oath on behalf of Jehovah’s Witnesses.","Not Yoruba"
"On September 9, 2019, powerful Typhoon Faxai made landfall near Tokyo, Japan.","Not Yoruba"
"On Thursday, August 30, 2018, South Korea’s Supreme Court held a full-bench public hearing on the cases of three Jehovah’s Witnesses who are conscientious objectors to military service.","Not Yoruba"
"On Thursday, July 4, 2019, the Ordzhonikidzevskiy District Court in the Russian city of Perm’ announced the conviction of Brother Aleksandr Solovyev and fined him 300,000 rubles ($4,731 U.S.).","Not Yoruba"
"On Thursday, May 16, 2019, the appeal hearing for Dennis Christensen resumed as scheduled.","Not Yoruba"
"On Thursday, May 3, 2018, the Saint Petersburg City Court upheld the original December 2017 decision, allowing the Russian government to immediately confiscate our former Russia branch facilities in Solnechnoye.","Not Yoruba"
"On Thursday, November 14, 2019, the Ordzhonikidzevskiy District Court of Perm’ convicted Brother Aleksey Metsger and fined him 350,000 rubles (approx. $5,460 U.S.).","Not Yoruba"
"On Thursday, September 19, 2019, six brothers from the Russian city of Saratov were convicted and sentenced to prison simply for being Jehovah’s Witnesses.","Not Yoruba"
"On Tuesday, May 7, 2019, at the Oryol Regional Court, the hearing began for Dennis Christensen to appeal the six-year prison sentence he received for practicing his faith.","Not Yoruba"
"On Tuesday, September 4, 2018, western Japan suffered the effects of what is being reported as the most powerful typhoon to hit the country in over two decades.","Not Yoruba"
"One of the 19 individuals being baptized","Not Yoruba"
"Over the past 18 months, local police and Federal Security Service (FSB) agents in Russia have raided a total of 613 homes of our brothers and sisters.","Not Yoruba"
"Several international news outlets have reported that during recent searches in the Kirov region of Russia, authorities supposedly discovered “weapons” that they say belonged to Jehovah’s Witnesses.","Not Yoruba"
"Several rounds of heavy rain caused widespread destruction in eastern Spain during the months of September and October 2019.","Not Yoruba"
"Since April 20, 2017, when the Russian Supreme Court effectively banned the worship of Jehovah’s Witnesses in the country, our brothers and sisters have faced relentless persecution and imprisonment.","Not Yoruba"
"Since January 1, 2000, the Swedish government has offered state funding to faith-based organizations under the Support for Religious Communities Act.","Not Yoruba"
"Tens of thousands of people were forced to evacuate their homes as two deadly tropical storms, Kai-tak (known locally as Urduja) and Tembin (known locally as Vinta), caused flooding and mudslides in the Philippines at the close of December.","Not Yoruba"
"The case against Dennis Christensen, held at the Zheleznodorozhniy District Court of Oryol, has concluded, and the judge has scheduled the verdict to be issued on Wednesday, February 6, 2019.","Not Yoruba"
"The construction of the Britain branch office near Chelmsford, Essex, is projected to be completed in December 2019.","Not Yoruba"
"The president of Kazakhstan, Nursultan Nazarbayev, pardoned Teymur Akhmedov, and he was released from custody on April 4, 2018.","Not Yoruba"
"The Pskov City Court will announce its verdict on June 8, 2020, in the trial involving 61-year-old Brother Gennady Shpakovskiy.","Not Yoruba"
"The Vilyuchinsk City Court is expected to announce its verdict in the trial involving Brother Mikhail Popov and his wife, Sister Yelena Popova, on Thursday, February 13, 2020.","Not Yoruba"
"The Zheleznodorozhniy District Court in Khabarovsk will announce its verdict on Friday, February 14, 2020, in the trial involving Brother Yevgeniy Aksenov.","Not Yoruba"
"Two of the brothers recently placed under house arrest with their attorneys. Pictured from left to right: attorney Vitaly Svintsov, Vladimir Kochnev, Aleksandr Suvorov, and attorney Egiazar Chernikov.","Not Yoruba"
"Typhoon Kammuri, also known in the Philippines as Tisoy, made landfall on December 2, 2019, in the Bicol region of southern Luzon.","Not Yoruba"
"Typhoon Vongfong (locally known as Ambo) made landfall on the island of Samar on May 14, 2020.","Not Yoruba"
"Typhoon Yutu, which previously had struck the Northern Mariana Islands as a super typhoon on October 24, made landfall on Luzon, the largest island of the Philippines, on Tuesday, October 30.","Not Yoruba"
"We were threatened that if you don’t have a national ID card, you won’t be able to renew your international passport, that’s why we went to register said one interviewee.","Not Yoruba"
"(1 Peter 2:17; 5:9) Most of all, we unitedly thank Jehovah, “the God who supplies endurance and comfort.”—Romans 15:5.","Not Yoruba"
"(2 Timothy 3:1-5; 2 Timothy 4:2) Luis R. Navas, a spokesman from the Venezuela branch office, explains: “Spiritually, we have never been so prosperous.","Not Yoruba"
"(For many years, the area was called “Kibera,” a mispronunciation of the word kibra, a Nubian word for “forest.” Kenya's Nubian community feels using “Kibera” robs them of their identity).","Not Yoruba"
"(Fun fact: the CTEA was commonly referred to as the Mickey Mouse Protection Act because the extension came just before the original Mickey Mouse cartoon, Steamboat Willie, would have fallen into the public domain.)","Not Yoruba"
"(including crabs) over a year.","Not Yoruba"
"(Isaiah 40:8) Over 100 rare Biblical scrolls, leaves, manuscripts, and books are showcased.","Not Yoruba"
"(John 13:34, 35) We know that Jehovah will continue to sustain our brothers during this ordeal.","Not Yoruba"
"(Knocks her door)","Not Yoruba"
"(Mimic her)","Not Yoruba"
"(Mimics him)","Not Yoruba"
"(Music going)","Not Yoruba"
"(Philippians 1:14) We pray for our brothers who remain imprisoned in Eritrea, Russia, Singapore, and Turkmenistan.—Hebrews 10:34.","Not Yoruba"
"(Phone conversation)","Not Yoruba"
"(Phone conversation)","Not Yoruba"
"(See box “ Persecution and Legal Challenges Under Three German Governments.”) The exhibition debuted on Sunday, April 22, 2018, at the Ravensbrück Concentration Camp Memorial Site in Fürstenberg, Germany.","Not Yoruba"
"(See picture above on left.)","Not Yoruba"
"(See the box “ The Churches’ Role in the Genocide in Rwanda.”)","Not Yoruba"
"(This move put the U.S. copyright term in line with some other countries, though many more countries remain at 50 years after the creator’s death to this day.)","Not Yoruba"
"* Despite these difficult circumstances, the approximately 140,000 Jehovah’s Witnesses who remain in Venezuela are active in their spiritual activities.","Not Yoruba"
"* The Kingdom Hall shortly after it was built in 1935 Before the COVID-19 pandemic, our brothers invited the local community, government officials, and educators to an open house from February 11 to 15, 2020, after completely remodeling the historic building.","Not Yoruba"
"* The year 2018 marked the 25th anniversary of this historic decision.","Not Yoruba"
"**Your answer should be**","Not Yoruba"
"--- 14 players arrive at Super Eagles camp","Not Yoruba"
"--- 19 people loss of lives in Kogi attack","Not Yoruba"
"--- 2018 Commonwealth Games: Nigeria defeats Malaysia in table tennis","Not Yoruba"
"--- 2020 will usher in peace, economic growth – Senate President","Not Yoruba"
" athletes missing at Commonwealth Games","Not Yoruba"
"--- AC Milan goalkeeper Gianluigi's blunder made them loss the match","Not Yoruba"
"--- Adamawa Governor commends army for restoring peace","Not Yoruba"
"--- Africa Youth Games: 26 Kwara athletes invited to camp","Not Yoruba"
"--- Ahmed Musa, Moses Simon join DW sports management","Not Yoruba"
"--- Akwa-Ibom stadium received the best stadium award.","Not Yoruba"
"--- Amina Mohammed wins Global Citizen Award","Not Yoruba"
"--- Ancelotti rejects Italy job as a coach","Not Yoruba"
"--- Anthony Joshua fight will definitely happen – Wilder","Not Yoruba"
"--- Antonio Conte commended Victor Moses.","Not Yoruba"
"--- Argentina begins training ahead of Italy friendly match","Not Yoruba"
"--- Armed Forces and Remembrance Day: VP Osinbajo eulogises fallen heroes","Not Yoruba"
"--- ASUU will soon embark on strike","Not Yoruba"
"--- Athletics: Farah wins inaugural Big Half","Not Yoruba"
"--- Atletico flogs Marseille 3-0 to win third Europa cup","Not Yoruba"
"--- Attorney General orders DSS off Sowore’s case","Not Yoruba"
"--- Augustina Okechukwu, laid to rest in Enugu","Not Yoruba"
"--- Barcelona crush Chelsea to move to the next round","Not Yoruba"
"--- Benue Governor signs 2020 budget","Not Yoruba"
"--- Boris Johnson is now the Prime Minister of UK","Not Yoruba"
"--- Brazil names provisional 23-man squad","Not Yoruba"
"--- Cadbury, NFF sign 3-year partnership deal","Not Yoruba"
"--- CAF, NFF celebrate Taribo West at 44","Not Yoruba"
"--- Canada, U.S,  to host 2026 World Cup","Not Yoruba"
"--- CCL:  United falls 4-2 to Etoile Sahel","Not Yoruba"
"--- Chelsea beats Manchester United to win FA Cup","Not Yoruba"
"--- Chiellini out of friendly matches","Not Yoruba"
"--- Clamp down on rebels and terrorists in Nigeria: Tukur Buratai","Not Yoruba"
"--- Clerics pray for peace in Nigeria","Not Yoruba"
"--- Come and enter free train ride on Lagos-Ibadan rail","Not Yoruba"
"--- Commonwealth Games: Dalung urges Team Nigeria to compete fairly","Not Yoruba"
"--- Commonwealth: Sally Pearson sad over injury knock-out","Not Yoruba"
"--- Confirmed: Arsenal signs Lichtsteiner","Not Yoruba"
"--- Court affirms Magu as EFCC Chair","Not Yoruba"
"--- Cristiano Ronaldo thanks all the Juventus fans","Not Yoruba"
"--- Croatia drops key players","Not Yoruba"
"--- Cross River State seeks support for  Deep Sea Port","Not Yoruba"
"--- Dalung seeks adequate funding for sports","Not Yoruba"
"--- Dalung wants Eagles to play the football match with DR Congo in Abuja","Not Yoruba"
"--- Defeating to Serbia is a great lesson  – Dalung","Not Yoruba"
"--- Dennerby, the Super Falcons coach lists 26 for Gambia","Not Yoruba"
"--- Didier Drogba son joined Guingamp football club.","Not Yoruba"
"--- Diego Costa- Messi is a Savior for Argentina.","Not Yoruba"
"--- Different matches coming up in the Englih Premier League.","Not Yoruba"
"--- Dino Melaye has lost the Kogi West Senatorial District Election","Not Yoruba"
"--- Djokovic returns to training after surgery","Not Yoruba"
"--- Don’t let terrorists divide the country – President Buhari","Not Yoruba"
"--- DR Congo releases 28-man list for Nigeria friendly","Not Yoruba"
"--- Eagles ready for World Cup – Balogun","Not Yoruba"
"--- Eagles will do well in subsequent matches – Dalung","Not Yoruba"
"--- Eagles World Cup kits unveiled","Not Yoruba"
"--- Edmund stuns Djokovic in Madrid open","Not Yoruba"
"--- EFCC to repatriate high profile looters – Magu","Not Yoruba"
"--- England vs Nigeria: Mikel, Iheanacho optimistic of good outing","Not Yoruba"
"--- Europa Cup: Arsenal beats AC Milan 2-0","Not Yoruba"
"--- Europa League: Arsenal, Athletico close in on semis","Not Yoruba"
"--- Falconets in Pot 2 for Women’s World Cup draw","Not Yoruba"
"--- Federal Govt., U.S to sign agreement on assets repatriation","Not Yoruba"
"--- FIFA executive summit to hold in Lagos","Not Yoruba"
"--- FIFA inducts Shehu Dikko into committee","Not Yoruba"
"--- FIFA President- Football is more than a religion in Nigeria","Not Yoruba"
"--- FIFA ranking: Nigeria drops one spot further","Not Yoruba"
"--- FIFA ranking: Nigeria drops to 48th  position","Not Yoruba"
"--- FIFA rankings: Nigeria now ranked 47th","Not Yoruba"
"--- FIFA slams life ban on Kenyan referee","Not Yoruba"
"--- Fire guts sections of Lagos market","Not Yoruba"
"--- Foreigner are the ones smuggling into Nigeria: The Emir of Yashkira","Not Yoruba"
"--- Former Barcelona and Spain striker Castro dies aged 68","Not Yoruba"
"--- French open: Del Potro whips Cilic, to face Nadal","Not Yoruba"
"--- Ganduje to grace Ramat Cup final","Not Yoruba"
"--- Ghanaian football official accused of corruption resigns from FIFA","Not Yoruba"
"--- Golden Eaglets Victory: President Buhari tasks Nigerians on resilience","Not Yoruba"
"--- Gubernatorial Election Ruling: Police beefs up security in Sokoto","Not Yoruba"
"--- Halep beats Wang to reach Indian Wells quarter-finals","Not Yoruba"
"--- Harry Kane: I hope to catch up with Salah","Not Yoruba"
"--- I can knock Joshua out in Cardiff – Parker","Not Yoruba"
"--- I promises nonpartisan leadership: Ahmed Lawan.","Not Yoruba"
"--- Ibrahimovic leaves Manchester United for LA Galaxy","Not Yoruba"
"--- IHF to train Nigerian handball coaches","Not Yoruba"
"--- Imo Governorship Election: Supreme Court declares Uzodinma winner","Not Yoruba"
"--- Infantino insists Russia ready to host World Cup","Not Yoruba"
"--- Infantino: We’re still considering VAR for world cup","Not Yoruba"
"--- Information Minister has expressed deep shock and sadness over the death of Alex Akinyele","Not Yoruba"
"--- Injured Saunders postpones WBO title defense","Not Yoruba"
"--- Iwobi signs up for LG ambassador","Not Yoruba"
"--- I’ll overwhelm Parker with experience – Joshua","Not Yoruba"
"--- I’ll quit International football after world cup – Iniesta","Not Yoruba"
"--- Jos stadium to be ready in May","Not Yoruba"
"--- Jurgen Klopp-Idije Champions League has to do with the result.","Not Yoruba"
"--- Kaduna Governor orders closure of gas retail shops in residential areas","Not Yoruba"
"--- Kano Election Appeal: Supreme Court adjourns abruptly","Not Yoruba"
"--- Kano State boosts 41 clubs","Not Yoruba"
"--- Koeman named as Netherlands coach","Not Yoruba"
"--- Kwara approves disbursement of N21m to 2019 hajj pilgrims","Not Yoruba"
"--- Kwara SWAN congratulates Olarinoye","Not Yoruba"
"--- Lopetegui succeeds Zidane at Madrid","Not Yoruba"
"splits with Sven Groeneveld","Not Yoruba"
"--- MFM advance to second round at the CAF Champions League","Not Yoruba"
"--- MFM kicked out of CAFCC by Djoliba","Not Yoruba"
"--- Mikel, one of Nigeria’s greatest football exports – Siasia","Not Yoruba"
"--- Minister donates items to 120 Babies of the year","Not Yoruba"
"--- Minister tasks Nigerians on patriotism, commitment to nation building","Not Yoruba"
"--- Mobolaji Johnson is dead","Not Yoruba"
"--- Mohamed Salah signs new contract with Liverpool","Not Yoruba"
"--- Morocco should host 2026 World Cup – Blatter","Not Yoruba"
"--- Nadal back from injury for Davis Cup quarter-finals","Not Yoruba"
"--- Nadal beats Thiem to win his 11th French Open","Not Yoruba"
"--- NAF destroys ISWAPs’ staging area in Borno","Not Yoruba"
"--- Nasarawa State is enjoying stability – Governor Sule","Not Yoruba"
"--- New Year: President Buhari felicitates with Nigerians, highlights successes","Not Yoruba"
"--- New Year: Speaker felicitates with Nigerians, advocates unity","Not Yoruba"
"--- NFF celebrates Rohr, Balogun as they mark their birthdays","Not Yoruba"
"--- NFF chiefs visit Carl Ikeme","Not Yoruba"
"--- NFF inaugurates new committees","Not Yoruba"
"--- NFF mourns Mgbolu","Not Yoruba"
"--- Nigeria announces starting eleven against Czech Republic","Not Yoruba"
"--- Nigeria condoles with Kenya and DR Congo over natural disasters","Not Yoruba"
"--- Nigeria face Argentina, Turkey in FIBA World Cup","Not Yoruba"
"--- Nigeria has made substantial progress in 20 years – Senate President","Not Yoruba"
"--- Nigeria Inaugurates Ministerial Taskforce on power","Not Yoruba"
"--- Nigeria legalizes agreement with Macao on transfer of sentenced persons","Not Yoruba"
"--- Nigeria partners with Netherlands on education","Not Yoruba"
"--- Nigeria plans to recruit more troops","Not Yoruba"
"--- Nigeria Professional Football League.","Not Yoruba"
"--- Nigeria retains 47 position in FIFA ranking","Not Yoruba"
"--- Nigeria seeks funds from US for infrastructure development","Not Yoruba"
"--- Nigeria takes the second spot at CHAN competition","Not Yoruba"
"--- Nigeria targets 100m citizens in primary healthcare in 10 years","Not Yoruba"
"--- Nigeria to stop importation of Petrol by 2023","Not Yoruba"
"--- Nigeria, India to strengthen bilateral ties","Not Yoruba"
"--- Nigerian Government declares Operation Amotekun an illegal outfit","Not Yoruba"
"--- Nigerian Government pays for January 2020 School Feeding Programme","Not Yoruba"
"--- Nigerian government sets 10 year plan to achieve digital literacy","Not Yoruba"
"--- Nigerian Government to maintain subsidy on rail transport fares – Minister","Not Yoruba"
"--- Nigerian President nominates Kingsley Obiora as CBN Deputy Governor","Not Yoruba"
"--- Nigerian President presides over security briefing","Not Yoruba"
"--- NNL season to commence saturday","Not Yoruba"
"--- NPFL: Abia Warriors beats Yobe Desert Stars","Not Yoruba"
"--- NPFL: Match Day 19 fixtures results","Not Yoruba"
"--- NPFL: Match Day 6 results","Not Yoruba"
"--- Oborududu joins team Nigeria in New York","Not Yoruba"
"--- Odion Ighalo heads to Uyo to join team mates","Not Yoruba"
"--- Ogunbowale, Azubuike propel U.S. basketball teams to victory","Not Yoruba"
"--- Onome Ebi signs with Chinese side, Henan Huishang FC","Not Yoruba"
"--- Osun Governor signs 2020 appropriation bill into law","Not Yoruba"
"--- Oyo Governor launches Armed Forces emblem with N3m","Not Yoruba"
"--- Pa Adamu has passed away","Not Yoruba"
"--- Pinnick appointed CAF 1st vice-president","Not Yoruba"
"---  Governor orders arrest of community leaders as death toll increases","Not Yoruba"
"--- Poland/Nigeria friendly: 22 Eagles now in Wroclaw camp","Not Yoruba"
